Hyperparameter Tuning Results
----------------------------
Best Parameters: {'C': 5, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.02}
Best Cross-Validation F1 Score: 0.9524

All tested combinations:
Params: {'C': 0.1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.01}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.02}, Mean F1: 0.6042, Std F1: 0.0976
Params: {'C': 0.1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.05}, Mean F1: 0.9273, Std F1: 0.0427
Params: {'C': 0.1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.1}, Mean F1: 0.9419, Std F1: 0.0465
Params: {'C': 0.1, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.01}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.02}, Mean F1: 0.2513, Std F1: 0.2104
Params: {'C': 0.1, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.05}, Mean F1: 0.9111, Std F1: 0.0444
Params: {'C': 0.1, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.1}, Mean F1: 0.9228, Std F1: 0.0448
Params: {'C': 0.1, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.01}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.02}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.05}, Mean F1: 0.7070, Std F1: 0.1260
Params: {'C': 0.1, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.1}, Mean F1: 0.8497, Std F1: 0.0320
Params: {'C': 0.1, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.01}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.02}, Mean F1: 0.0000, Std F1: 0.0000
Params: {'C': 0.1, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.05}, Mean F1: 0.2733, Std F1: 0.2355
Params: {'C': 0.1, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.1}, Mean F1: 0.6546, Std F1: 0.1280
Params: {'C': 1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.01}, Mean F1: 0.9419, Std F1: 0.0465
Params: {'C': 1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.02}, Mean F1: 0.9094, Std F1: 0.0579
Params: {'C': 1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.05}, Mean F1: 0.9419, Std F1: 0.0465
Params: {'C': 1, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.1}, Mean F1: 0.9419, Std F1: 0.0465
